Mob Name,Skyblock Types
Abyssal Miner,Aquatic; Undead
Agarimoo,Animal; Aquatic
Alligator,Animal; Aquatic; Elusive
Angry Archaeologist,Humanoid; Subterranean; Boss
Apostle,Undead; Wither
Arachne,Arcane; Arthropod
Arachne's Brood,Arthropod
Arachne's Keeper,Arthropod
Ashfang,Arcane; Infernal; Boss
Atoll Croaker,Animal; Aquatic
Atoned Champion,Undead; Boss
Atoned Horror,Undead; Boss
Atoned Revenant,Undead; Boss
Automaton,Arcane; Construct; Subterranean
Bal,Cubic; Infernal; Shielded
Banshee,Aquatic; Humanoid
Barbarian Duke X,Humanoid; Animal; Boss
Bat,Airborne; Animal; Spooky
Bat Piñata,Airborne; Shielded; Spooky
Bayou Sludge,Aquatic; Cubic
Beetle,Pest
Bezal,Infernal
Bladesoul,Arcane; Skeletal; Wither; Boss
Blaze,Infernal
Blazing Golem,Construct; Infernal
Blight,Infernal; Undead
Blue Jerry,Humanoid; Shielded
Blue Ringed Octopus,Animal; Aquatic; Elusive
Blue Shark,Animal; Aquatic
Bogged,Aquatic; Skeletal
Bonzo,Arcane; Humanoid
Boss Corleone,Humanoid; Subterranean
Broodmother,Arthropod; Boss
Burningsoul Demon,Infernal; Boss
Butterfly,Airborne; Arcane; Subterranean
Carrot King,Animal; Aquatic
Catfish,Animal; Aquatic
Cellar Spider,Arthropod; Subterranean
Chaosmite,Arcane; Arthropod; Ender
Chicken,Animal
Chill,Skeletal; Woodland
Chillblade,Skeletal; Woodland
Chillshot,Skeletal; Woodland
Conjoined Brood,Arthropod; Boss
Cow,Animal
Crazy Witch,Shielded; Spooky
Creeper,Cubic
Cretan Bull,Animal; Mythological
Cricket,Pest
Crypt Dreadlord,Subterranean; Undead; Wither
Crypt Ghoul,Undead
Crypt Lurker,Undead
Crypt Souleater,Subterranean; Undead; Wither
Crypt Undead,Subterranean; Undead
Dasher Spider,Arthropod
Deep Sea Protector,Aquatic; Construct
Deformed Revenant,Undead; Boss
Diamond Goblin,Elusive; Humanoid; Shielded
Dragonfly,Pest
Dropship,Airborne; Arcane; Cubic
Drowned Captain,Aquatic; Undead
Dumpster Diver,Aquatic; Humanoid
Earthworm,Pest
Emerald Slime,Cubic
End Stone Protector,Construct; Ender
Ender Dragon,Airborne; Arcane; Ender
Enderman,Ender
Endermite,Arthropod; Ender
